Customer ID,Name,Gender,Segment
CS0218,Siti Masliha,Female,Consumer
CS0219,Bobby Suan,Male,Consumer
CS0220,James Ratib,Male,Consumer
CS0221,Li Wei,Male,Consumer
CS0222,Chen Jia,Female,Consumer
CS0223,Zhang Lei,Male,Consumer
CS0224,Wang Fang,Female,Consumer
CS0225,Liu Ying,Female,Consumer
CS0226,Arjun Kumar,Male,Corporate
CS0227,Neha Patel,Female,Corporate
CS0228,Rajesh Nair,Male,Corporate
CS0229,Priya Singh,Female,Consumer
CS0230,Vikram Rao,Male,Consumer
CS0231,Ahmad Ali,Male,Corporate
CS0232,Siti Nur,Female,Home Office
CS0233,Hafiz Ismail,Male,Home Office
CS0234,Aisyah Bakar,Female,Home Office
CS0235,Zainal Abidin,Male,Home Office
CS0236,Jefry Lajim,Male,Home Office
CS0237,Daisy Jaimin,Female,Corporate
CS0238,Siti Masliha,Female,Consumer
CS0239,Bobby Suan,Male,Consumer
CS0240,James Ratib,Male,Consumer
CS0241,Li Wei,Male,Consumer
CS0242,Chen Jia,Female,Consumer
CS0243,Zhang Lei,Male,Consumer
CS0244,Wang Fang,Female,Consumer
CS0245,Liu Ying,Female,Home Office
CS0246,Arjun Kumar,Male,Home Office
CS0247,Neha Patel,Female,Home Office
CS0248,Rajesh Nair,Male,Home Office
CS0249,Priya Singh,Female,Home Office
CS0250,Vikram Rao,Male,Consumer
CS0251,Ahmad Ali,Male,Consumer
CS0252,Siti Nur,Female,Consumer
CS0253,Hafiz Ismail,Male,Consumer
CS0254,Aisyah Bakar,Female,Consumer
CS0255,Zainal Abidin,Male,Corporate
CS0256,Jefry Lajim,Male,Corporate
CS0257,Daisy Jaimin,Female,Corporate
CS0258,Siti Masliha,Female,Corporate
CS0259,Bobby Suan,Male,Consumer
CS0260,James Ratib,Male,Consumer
CS0261,Li Wei,Male,Consumer
CS0262,Chen Jia,Female,Corporate
CS0263,Zhang Lei,Male,Corporate
CS0264,Wang Fang,Female,Corporate
CS0265,Liu Ying,Female,Consumer
CS0266,Arjun Kumar,Male,Consumer
CS0267,Neha Patel,Female,Corporate
CS0268,Rajesh Nair,Male,Consumer
CS0269,Priya Singh,Female,Corporate
CS0270,Vikram Rao,Male,Corporate
CS0271,Ahmad Ali,Male,Corporate
CS0272,Siti Nur,Female,Consumer
CS0273,Hafiz Ismail,Male,Consumer
CS0274,Aisyah Bakar,Female,Consumer
CS0275,Zainal Abidin,Male,Corporate
CS0276,Jefry Lajim,Male,Corporate
CS0277,Daisy Jaimin,Female,Corporate
CS0278,Siti Masliha,Female,Corporate
CS0279,Bobby Suan,Male,Corporate
CS0280,James Ratib,Male,Corporate
CS0281,Li Wei,Male,Consumer
CS0282,Chen Jia,Female,Consumer
CS0283,Zhang Lei,Male,Consumer
CS0284,Wang Fang,Female,Consumer
CS0285,Liu Ying,Female,Consumer
CS0286,Arjun Kumar,Male,Consumer
CS0287,Neha Patel,Female,Corporate
CS0288,Rajesh Nair,Male,Corporate
CS0289,Priya Singh,Female,Corporate
CS0290,Vikram Rao,Male,Home Office
CS0291,Ahmad Ali,Male,Home Office
CS0292,Siti Nur,Female,Home Office
CS0293,Hafiz Ismail,Male,Home Office
CS0294,Aisyah Bakar,Female,Corporate
CS0295,Zainal Abidin,Male,Corporate
CS0296,Jefry Lajim,Male,Corporate
CS0297,Daisy Jaimin,Female,Corporate
CS0298,Siti Masliha,Female,Corporate
CS0299,Bobby Suan,Male,Corporate
CS0300,James Ratib,Male,Corporate
CS0301,Li Wei,Male,Corporate
CS0302,Chen Jia,Female,Corporate
CS0303,Zhang Lei,Male,Corporate
CS0304,Wang Fang,Female,Consumer
CS0305,Liu Ying,Female,Corporate
CS0306,Arjun Kumar,Male,Corporate
CS0307,Neha Patel,Female,Home Office
CS0308,Rajesh Nair,Male,Home Office
CS0309,Priya Singh,Female,Consumer
CS0310,Vikram Rao,Male,Corporate
CS0311,Ahmad Ali,Male,Corporate
CS0312,Siti Nur,Female,Corporate
CS0313,Hafiz Ismail,Male,Corporate
CS0314,Aisyah Bakar,Female,Corporate
CS0315,Zainal Abidin,Male,Corporate
CS0316,Jefry Lajim,Male,Corporate
CS0317,Daisy Jaimin,Female,Corporate
CS0318,Siti Masliha,Female,Home Office
CS0319,Bobby Suan,Male,Home Office
CS0320,James Ratib,Male,Home Office
CS0321,Li Wei,Male,Home Office
CS0322,Chen Jia,Female,Home Office
CS0323,Zhang Lei,Male,Corporate
CS0324,Wang Fang,Female,Corporate
CS0325,Liu Ying,Female,Corporate
CS0326,Arjun Kumar,Male,Corporate
CS0327,Neha Patel,Female,Consumer
CS0328,Rajesh Nair,Male,Consumer
CS0329,Priya Singh,Female,Consumer
CS0330,Vikram Rao,Male,Consumer
CS0331,Ahmad Ali,Male,Consumer
CS0332,Siti Nur,Female,Consumer
CS0333,Hafiz Ismail,Male,Consumer
CS0334,Aisyah Bakar,Female,Consumer
CS0335,Zainal Abidin,Male,Consumer
CS0336,Jefry Lajim,Male,Consumer
CS0337,Daisy Jaimin,Female,Consumer
CS0338,Siti Masliha,Female,Corporate
CS0339,Bobby Suan,Male,Corporate
CS0340,James Ratib,Male,Consumer
CS0341,Li Wei,Male,Corporate
CS0342,Chen Jia,Female,Corporate
CS0343,Zhang Lei,Male,Corporate
CS0344,Wang Fang,Female,Corporate
CS0345,Liu Ying,Female,Consumer
CS0346,Arjun Kumar,Male,Consumer
CS0347,Neha Patel,Female,Consumer
CS0348,Rajesh Nair,Male,Consumer
CS0349,Priya Singh,Female,Consumer
CS0350,Vikram Rao,Male,Home Office
CS0351,Ahmad Ali,Male,Home Office
CS0352,Siti Nur,Female,Home Office
CS0353,Hafiz Ismail,Male,Home Office
CS0354,Aisyah Bakar,Female,Home Office
CS0355,Zainal Abidin,Male,Consumer
CS0356,Jefry Lajim,Male,Consumer
CS0357,Daisy Jaimin,Female,Consumer
CS0358,Siti Masliha,Female,Consumer
CS0359,Bobby Suan,Male,Corporate
CS0360,James Ratib,Male,Corporate
CS0361,Li Wei,Male,Corporate
CS0362,Chen Jia,Female,Consumer
CS0363,Zhang Lei,Male,Consumer
CS0364,Wang Fang,Female,Consumer
CS0365,Liu Ying,Female,Consumer
CS0366,Arjun Kumar,Male,Consumer
CS0367,Neha Patel,Female,Corporate
CS0368,Rajesh Nair,Male,Corporate
CS0369,Priya Singh,Female,Corporate
CS0370,Vikram Rao,Male,Corporate
CS0371,Ahmad Ali,Male,Consumer
CS0372,Siti Nur,Female,Consumer
CS0373,Hafiz Ismail,Male,Consumer
CS0374,Aisyah Bakar,Female,Consumer
CS0375,Zainal Abidin,Male,Consumer
CS0376,Jefry Lajim,Male,Consumer
CS0377,Daisy Jaimin,Female,Corporate
CS0378,Siti Masliha,Female,Corporate
CS0379,Bobby Suan,Male,Consumer
CS0380,James Ratib,Male,Consumer
CS0381,Li Wei,Male,Consumer
CS0382,Chen Jia,Female,Corporate
CS0383,Zhang Lei,Male,Corporate
CS0384,Wang Fang,Female,Corporate
CS0385,Liu Ying,Female,Consumer
CS0386,Arjun Kumar,Male,Consumer
CS0387,Neha Patel,Female,Corporate
CS0388,Rajesh Nair,Male,Corporate
CS0389,Priya Singh,Female,Consumer
CS0390,Vikram Rao,Male,Consumer
CS0391,Ahmad Ali,Male,Consumer
CS0392,Siti Nur,Female,Consumer
CS0393,Hafiz Ismail,Male,Consumer
CS0394,Aisyah Bakar,Female,Corporate
CS0395,Zainal Abidin,Male,Home Office
CS0396,Jefry Lajim,Male,Corporate
CS0397,Daisy Jaimin,Female,Corporate
CS0398,Siti Masliha,Female,Home Office
CS0399,Bobby Suan,Male,Consumer
CS0400,James Ratib,Male,Consumer
CS0401,Li Wei,Male,Consumer
CS0402,Chen Jia,Female,Consumer
CS0403,Zhang Lei,Male,Consumer
CS0404,Wang Fang,Female,Corporate
CS0405,Liu Ying,Female,Consumer
CS0406,Arjun Kumar,Male,Consumer
CS0407,Neha Patel,Female,Consumer
CS0408,Rajesh Nair,Male,Consumer
CS0409,Priya Singh,Female,Consumer
CS0410,Vikram Rao,Male,Consumer
CS0411,Ahmad Ali,Male,Consumer
CS0412,Siti Nur,Female,Consumer
CS0413,Hafiz Ismail,Male,Consumer
CS0414,Aisyah Bakar,Female,Consumer
CS0415,Zainal Abidin,Male,Corporate
CS0416,Jefry Lajim,Male,Corporate
CS0417,Daisy Jaimin,Female,Consumer
CS0418,Siti Masliha,Female,Consumer
CS0419,Bobby Suan,Male,Corporate
CS0420,James Ratib,Male,Corporate
CS0421,Li Wei,Male,Corporate
CS0422,Chen Jia,Female,Consumer
CS0423,Zhang Lei,Male,Corporate
CS0424,Wang Fang,Female,Corporate
CS0425,Liu Ying,Female,Consumer
CS0426,Arjun Kumar,Male,Corporate
CS0427,Neha Patel,Female,Corporate
CS0428,Rajesh Nair,Male,Home Office
CS0429,Priya Singh,Female,Corporate
CS0430,Vikram Rao,Male,Home Office
CS0431,Ahmad Ali,Male,Home Office
CS0432,Siti Nur,Female,Home Office
CS0433,Hafiz Ismail,Male,Home Office
CS0434,Aisyah Bakar,Female,Consumer
CS0435,Zainal Abidin,Male,Consumer
CS0436,Jefry Lajim,Male,Consumer
CS0437,Daisy Jaimin,Female,Home Office
CS0438,Siti Masliha,Female,Home Office
CS0439,Bobby Suan,Male,Corporate
CS0440,James Ratib,Male,Corporate
CS0441,Li Wei,Male,Consumer
CS0442,Chen Jia,Female,Consumer
CS0443,Zhang Lei,Male,Consumer
CS0444,Wang Fang,Female,Consumer
CS0445,Liu Ying,Female,Consumer
CS0446,Arjun Kumar,Male,Consumer
CS0447,Neha Patel,Female,Consumer
CS0448,Rajesh Nair,Male,Consumer
CS0449,Priya Singh,Female,Consumer
CS0450,Vikram Rao,Male,Consumer
CS0451,Ahmad Ali,Male,Consumer
CS0452,Siti Nur,Female,Consumer
CS0453,Hafiz Ismail,Male,Consumer
CS0454,Aisyah Bakar,Female,Corporate
CS0455,Zainal Abidin,Male,Corporate
CS0456,Jefry Lajim,Male,Corporate
CS0457,Daisy Jaimin,Female,Consumer
CS0458,Siti Masliha,Female,Consumer
CS0459,Bobby Suan,Male,Consumer
CS0460,James Ratib,Male,Consumer
CS0461,Li Wei,Male,Consumer
CS0462,Chen Jia,Female,Consumer
CS0463,Zhang Lei,Male,Home Office
CS0464,Wang Fang,Female,Home Office
CS0465,Liu Ying,Female,Home Office
CS0466,Arjun Kumar,Male,Home Office
CS0467,Neha Patel,Female,Home Office
CS0468,Rajesh Nair,Male,Home Office
CS0469,Priya Singh,Female,Corporate
CS0470,Vikram Rao,Male,Consumer
CS0471,Ahmad Ali,Male,Corporate
CS0472,Siti Nur,Female,Consumer
CS0473,Hafiz Ismail,Male,Consumer
CS0474,Aisyah Bakar,Female,Consumer
CS0475,Zainal Abidin,Male,Consumer
CS0476,Jefry Lajim,Male,Consumer
CS0477,Daisy Jaimin,Female,Consumer
CS0478,Siti Masliha,Female,Corporate
CS0479,Bobby Suan,Male,Consumer
CS0480,James Ratib,Male,Corporate
CS0481,Li Wei,Male,Corporate
CS0482,Chen Jia,Female,Consumer
CS0483,Zhang Lei,Male,Consumer
CS0484,Wang Fang,Female,Consumer
CS0485,Liu Ying,Female,Home Office
CS0486,Arjun Kumar,Male,Home Office
CS0487,Neha Patel,Female,Home Office
CS0488,Rajesh Nair,Male,Consumer
CS0489,Priya Singh,Female,Home Office
CS0490,Vikram Rao,Male,Home Office
CS0491,Ahmad Ali,Male,Home Office
CS0492,Siti Nur,Female,Consumer
CS0493,Hafiz Ismail,Male,Consumer
CS0494,Aisyah Bakar,Female,Consumer
CS0495,Zainal Abidin,Male,Consumer
CS0496,Jefry Lajim,Male,Consumer
CS0497,Daisy Jaimin,Female,Consumer
CS0498,Siti Masliha,Female,Consumer
CS0499,Bobby Suan,Male,Consumer
CS0500,James Ratib,Male,Consumer
CS0501,Li Wei,Male,Corporate
CS0502,Chen Jia,Female,Corporate
CS0503,Zhang Lei,Male,Corporate
CS0504,Wang Fang,Female,Corporate
CS0505,Liu Ying,Female,Corporate
CS0506,Arjun Kumar,Male,Corporate
CS0507,Neha Patel,Female,Consumer
CS0508,Rajesh Nair,Male,Consumer
CS0509,Priya Singh,Female,Consumer
CS0510,Vikram Rao,Male,Consumer
CS0511,Ahmad Ali,Male,Consumer
CS0512,Siti Nur,Female,Consumer
CS0513,Hafiz Ismail,Male,Consumer
CS0514,Aisyah Bakar,Female,Consumer
CS0515,Zainal Abidin,Male,Consumer
CS0516,Jefry Lajim,Male,Home Office
CS0517,Daisy Jaimin,Female,Home Office
CS0518,Siti Masliha,Female,Home Office
CS0519,Bobby Suan,Male,Home Office
CS0520,James Ratib,Male,Consumer
CS0521,Li Wei,Male,Consumer
CS0522,Chen Jia,Female,Consumer
CS0523,Zhang Lei,Male,Corporate
CS0524,Wang Fang,Female,Consumer
CS0525,Liu Ying,Female,Consumer
CS0526,Arjun Kumar,Male,Consumer
CS0527,Neha Patel,Female,Home Office
CS0528,Rajesh Nair,Male,Home Office
CS0529,Priya Singh,Female,Consumer
CS0530,Vikram Rao,Male,Consumer
CS0531,Ahmad Ali,Male,Consumer
CS0532,Siti Nur,Female,Corporate
CS0533,Hafiz Ismail,Male,Consumer
CS0534,Aisyah Bakar,Female,Consumer
CS0535,Zainal Abidin,Male,Consumer
CS0536,Jefry Lajim,Male,Consumer
CS0537,Daisy Jaimin,Female,Consumer
CS0538,Siti Masliha,Female,Home Office
CS0539,Bobby Suan,Male,Consumer
CS0540,James Ratib,Male,Consumer
CS0541,Li Wei,Male,Consumer
CS0437,Daisy Jaimin,Female,Corporate
CS0136,Jefry Lajim,Male,Consumer
CS0004,Wang Fang,Female,Consumer
CS0004,Wang Fang,Female,Consumer
CS0005,Liu Ying,Female,Consumer
CS0005,Liu Ying,Female,Consumer
CS0005,Liu Ying,Female,Consumer
CS0012,Siti Nur,Female,Consumer
CS0012,Siti Nur,Female,Consumer
CS0013,Hafiz Ismail,Male,Consumer
CS0013,Hafiz Ismail,Male,Consumer
CS0018,Siti Masliha,Female,Consumer
CS0018,Siti Masliha,Female,Consumer
CS0018,Siti Masliha,Female,Consumer
CS0019,Bobby Suan,Male,Consumer
CS0019,Bobby Suan,Male,Consumer
CS0019,Bobby Suan,Male,Consumer
CS0024,Wang Fang,Female,Consumer
CS0024,Wang Fang,Female,Consumer
CS0025,Liu Ying,Female,Consumer
CS0025,Liu Ying,Female,Consumer
CS0028,Rajesh Nair,Male,Consumer
CS0028,Rajesh Nair,Male,Consumer
CS0028,Rajesh Nair,Male,Consumer
CS0029,Priya Singh,Female,Consumer
CS0029,Priya Singh,Female,Consumer
CS0029,Priya Singh,Female,Consumer
CS0030,Vikram Rao,Male,Consumer
CS0030,Vikram Rao,Male,Consumer
CS0031,Ahmad Ali,Male,Consumer
CS0031,Ahmad Ali,Male,Consumer
CS0031,Ahmad Ali,Male,Consumer
CS0033,Hafiz Ismail,Male,Consumer
CS0033,Hafiz Ismail,Male,Consumer
CS0034,Aisyah Bakar,Female,Consumer
CS0034,Aisyah Bakar,Female,Consumer
CS0034,Aisyah Bakar,Female,Consumer
CS0035,Zainal Abidin,Male,Home Office
CS0035,Zainal Abidin,Male,Home Office
CS0037,Daisy Jaimin,Female,Corporate
CS0037,Daisy Jaimin,Female,Corporate
CS0038,Siti Masliha,Female,Home Office
CS0038,Siti Masliha,Female,Home Office
CS0038,Siti Masliha,Female,Home Office
CS0043,Zhang Lei,Male,Corporate
CS0043,Zhang Lei,Male,Corporate
CS0045,Liu Ying,Female,Corporate
CS0045,Liu Ying,Female,Corporate
CS0048,Rajesh Nair,Male,Consumer
CS0048,Rajesh Nair,Male,Consumer
CS0049,Priya Singh,Female,Consumer
CS0049,Priya Singh,Female,Consumer
CS0049,Priya Singh,Female,Consumer
CS0050,Vikram Rao,Male,Consumer
CS0050,Vikram Rao,Male,Consumer
CS0051,Ahmad Ali,Male,Consumer
CS0051,Ahmad Ali,Male,Consumer
CS0053,Hafiz Ismail,Male,Consumer
CS0053,Hafiz Ismail,Male,Consumer
CS0053,Hafiz Ismail,Male,Consumer
CS0054,Aisyah Bakar,Female,Corporate
CS0054,Aisyah Bakar,Female,Corporate
CS0056,Jefry Lajim,Male,Consumer
CS0056,Jefry Lajim,Male,Consumer
CS0056,Jefry Lajim,Male,Consumer
CS0057,Daisy Jaimin,Female,Consumer
CS0057,Daisy Jaimin,Female,Consumer
CS0057,Daisy Jaimin,Female,Consumer
CS0060,James Ratib,Male,Consumer
CS0060,James Ratib,Male,Consumer
CS0060,James Ratib,Male,Consumer
CS0066,Arjun Kumar,Male,Consumer
CS0066,Arjun Kumar,Male,Consumer
CS0066,Arjun Kumar,Male,Consumer
CS0067,Neha Patel,Female,Home Office
CS0067,Neha Patel,Female,Home Office
CS0067,Neha Patel,Female,Home Office
CS0068,Rajesh Nair,Male,Corporate
CS0068,Rajesh Nair,Male,Corporate
CS0068,Rajesh Nair,Male,Corporate
CS0070,Vikram Rao,Male,Consumer
CS0070,Vikram Rao,Male,Consumer
CS0070,Vikram Rao,Male,Consumer
CS0072,Siti Nur,Female,Consumer
CS0072,Siti Nur,Female,Consumer
CS0072,Siti Nur,Female,Consumer
CS0074,Aisyah Bakar,Female,Consumer
CS0074,Aisyah Bakar,Female,Consumer
CS0074,Aisyah Bakar,Female,Consumer
CS0075,Zainal Abidin,Male,Consumer
CS0075,Zainal Abidin,Male,Consumer
CS0079,Bobby Suan,Male,Consumer
CS0079,Bobby Suan,Male,Consumer
CS0079,Bobby Suan,Male,Consumer
CS0080,James Ratib,Male,Corporate
CS0080,James Ratib,Male,Corporate
CS0083,Zhang Lei,Male,Consumer
CS0083,Zhang Lei,Male,Consumer
CS0084,Wang Fang,Female,Corporate
CS0084,Wang Fang,Female,Corporate
CS0084,Wang Fang,Female,Corporate
CS0085,Liu Ying,Female,Home Office
CS0085,Liu Ying,Female,Home Office
CS0086,Arjun Kumar,Male,Consumer
CS0086,Arjun Kumar,Male,Consumer
CS0086,Arjun Kumar,Male,Consumer
CS0087,Neha Patel,Female,Consumer
CS0087,Neha Patel,Female,Consumer
CS0087,Neha Patel,Female,Consumer
CS0092,Siti Nur,Female,Corporate
CS0092,Siti Nur,Female,Corporate
CS0092,Siti Nur,Female,Corporate
CS0093,Hafiz Ismail,Male,Consumer
CS0093,Hafiz Ismail,Male,Consumer
CS0093,Hafiz Ismail,Male,Consumer
CS0096,Jefry Lajim,Male,Home Office
CS0096,Jefry Lajim,Male,Home Office
CS0097,Daisy Jaimin,Female,Home Office
CS0097,Daisy Jaimin,Female,Home Office
CS0099,Bobby Suan,Male,Corporate
CS0099,Bobby Suan,Male,Corporate
